cities,Atlanta,Boston,Boulder,Cheyenne,Chicago,Cleveland,Disneyland,Key West,Miami,New Orleans,New York,Portland,San Francisco,Seattle,Yakima,250
Atlanta,I,0,-1,-1,-1,-1,-1,-1,-1,663,487,-1,-1,-1,-1,-1
Boston,S,-1,0,-1,-1,982,640,-1,-1,-1,-1,215,-1,-1,-1,-1
Boulder,S,-1,-1,0,-1,1130,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cheyenne,S,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,1162,-1,-1,1095
Chicago,I,-1,982,1130,-1,0,344,-1,-1,-1,-1,-1,-1,-1,-1,-1
Cleveland,S,-1,640,-1,-1,344,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Disneyland,S,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,989,408,-1,-1
Key West,S,-1,-1,-1,-1,-1,-1,-1,0,159,-1,-1,-1,-1,-1,-1
Miami,S,663,-1,-1,-1,-1,-1,-1,159,0,864,-1,-1,-1,-1,-1
New Orleans,S,487,-1,-1,-1,-1,-1,-1,-1,864,0,-1,-1,-1,-1,-1
New York,S,-1,215,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
Portland,I,-1,-1,-1,1162,-1,-1,989,-1,-1,-1,-1,0,635,173,185
San Francisco,S,-1,-1,-1,-1,-1,-1,408,-1,-1,-1,-1,635,0,-1,-1
Seattle,S,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,-1,0,142
Yakima,S,-1,-1,-1,1095,-1,-1,-1,-1,-1,-1,-1,185,-1,142,0
